
################ DICensus t+45s ################
objects walked: 158743   game-owned instances: 26323

---- class tally (684 distinct) ----
    24  ABP_Amber_GuardBehavior_C
     1  ABP_BaseGuard_C
     1  ABP_BaseSpyMelee_1P_C
     2  ABP_BaseSpyMelee_3P_C
     2  ABP_BaseSpy_1P_C
     2  ABP_BaseSpy_3P_C
     8  ABP_EliteAmber_GuardBehavior_C
   265  ABP_GuardBehavior_C
    24  ABP_GuardBehavior_Douglas_C
    10  ABP_GuardBehavior_EliteDouglas_C
     1  ABP_HealthConsumable_1P_C
     1  ABP_NPC_C
     1  ABP_PosingSpy_C
     1  ABP_PosingSpy_Weapon_Xiu_Mod2_3p_C
     2  ABP_SpyHandTool_Weapon_HitscanBase_3P_C
     2  ABP_SpyHandTool_Weapon_HitscanBase_C
     1  ABP_Spy_BounceMatTool3P_C
     1  ABP_Spy_BounceMatTool_C
     1  ABP_Spy_CallingCardTool_3P_C
     1  ABP_Spy_CallingCardTool_C
     1  ABP_Spy_Poudrier3P_C
     1  ABP_Spy_Poudrier_C
     1  ABP_Spy_ScramblerTool3P_C
     1  ABP_Spy_ScramblerTool_C
     2  ABP_WeaponSquire_3P_C
     2  ABP_WeaponSquire_C
     1  AISenseConfig_Damage
     1  AISenseEvent_Damage
     1  AISense_Damage
     1  ALI_Guard_C
     1  ALI_SpyActiveAbility_C
     1  ALI_SpyCustomSkin_C
     1  ALI_SpyHandTool_C
     1  ALI_SpyMeleeAttack_C
     1  AOEWeaponComponent
     1  ARSharedWorldGameMode
     1  ARSharedWorldGameState
     1  ARTextureCameraDepth
     1  ARTextureCameraImage
     1  AYumiPassiveAbilityMod1_2
     1  AceActiveAbility
     1  AceActiveAbilityHeatVision
     1  AceActiveAbilityMod2
     1  AcePassiveAbility
     1  AceTrailActiveAbility
  2461  ActiveAbilityConditionComponent
    14  AgentData
    37  AgentExpertiseSkillData
   177  AgentIntroPoseDataAsset
    37  AgentPassiveSkillData
   769  AgentSkinData
    37  AgentWeaponData
   218  AnimNotify_FootstepsEvent_NPC_C
     5  AnimNotify_GuardSetWeaponVisibility_C
    22  AnimNotify_NPCDespawnProp_C
    23  AnimNotify_NPCSpawnProp_C
     3  AnimNotify_SpyDespawnProp_C
     3  AnimNotify_SpySpawnProp_C
     3  AttachToSpyComponent
     1  BPFunctionLibrary_Gadgets_C
     1  BPFunctionLibrary_SpyShared_Balancing_C
     1  BPI_DamageNumbers_C
     1  BPI_Interactables_C
     1  BPI_NPC_C
     1  BPI_ObjectiveTerminal_C
     1  BPI_SpyBase_C
     1  BPL_Interactables_C
     1  BPLibrary_GadgetTeamOverlay_C
     1  BPLibrary_VFX_Weapon_C
     1  BPPosingSpy_Base_C
     1  BPSpy_Base_C
     1  BPWeapon_HitscanBase_C
     2  BPWeapon_Squire_C
     1  BP_BaseDoorActor_C
     1  BP_BaseGuard_C
     1  BP_BaseInteractable_C
     1  BP_BaseNPC_C
     1  BP_BasePowerupChest_C
     1  BP_BasePowerup_C
     2  BP_CameraLense_C
     2  BP_CameraOutro_Lose_C
    12  BP_CivilianObservation_Interactable_C
     1  BP_Container_OrangeCardSpawnerHS_C
     3  BP_Container_PurpleCardSpawnerHS_C
     1  BP_Container_PurpleCardSpawnerSE_C
     2  BP_DamageModifier_DisguiseShield_Disguise_C
     2  BP_DamageModifier_DisguiseShield_Spy_C
     1  BP_DamageType_Fall_C
     2  BP_DeceiveIncBaseGameMode_C
     1  BP_DeceiveIncBotController_C
     1  BP_DeceiveIncCheatManager_C
     2  BP_DeceiveIncMatchGameState_C
     2  BP_DeceiveIncPlayer_C
     1  BP_DeceiveIncPregameLobbyState_C
     1  BP_DeceiveIncSpyGameState_C
     1  BP_DedicatedGameState_C
     1  BP_DestroyedGadget_Bouncemat_C
     1  BP_DestroyedGadget_Scrambler_C
     1  BP_Display_Powerup_Civilian_C
     1  BP_Display_Powerup_Guard_C
     1  BP_Display_Powerup_Staff_C
     1  BP_Display_Powerup_Technician_C
     1  BP_Display_Powerup_VIP_C
     3  BP_DoorDiamondSpire_Emergency_C
    67  BP_DoorHotelRoomFrame_Base_C
     1  BP_DoorLab_Blue_C
     1  BP_DoorLab_C
     1  BP_DoorLab_Green_C
     1  BP_DoorLab_Orange_C
     1  BP_DoorLab_Purple_C
     1  BP_DoorManor_C
    15  BP_DoorSR_Blue_C
    18  BP_DoorSR_C
     9  BP_DoorSR_Green_C
     6  BP_DoorSR_Purple_C
     5  BP_Door_Starfish_Blue_C
     4  BP_Door_Starfish_Orange_C
     8  BP_Door_Starfish_Purple_C
    14  BP_EliteGuardWeapon_C
     4  BP_ExtractionObjectiveHud_C
     1  BP_Extraction_ObjectiveCarrier_CavaliereScannable_C
    49  BP_Fieldupgrade_Spawn_C
     1  BP_Gadget_MimicScannableMaster_C
     1  BP_Gadget_PositionerComponent_C
     6  BP_GooPodSpawn_C
    33  BP_GuardObservation_Interactable_C
    41  BP_GuardWeapon_C
     3  BP_HardCurrencyPile_Pickable_C
     1  BP_HealthConsumableSyringeFailed_C
     1  BP_HealthConsumableSyringe_3P_C
     1  BP_HealthConsumableSyringe_C
     1  BP_Interactable_CleaningSponge_C
     1  BP_MasterSocial_Interactable_C
   318  BP_NPCAI_C
     9  BP_NPCConversation_C
     1  BP_NavQuery_Guard_C
    22  BP_ObjectSpawn_BigLootable_C
   471  BP_ObjectSpawn_Generic_C
     7  BP_ObjectSpawn_LAFBoxes_C
    37  BP_ObjectSpawn_VaultPrinter_C
     2  BP_ObjectSpawningManager_C
     2  BP_OutroCamera_C
     2  BP_PopulationManager_C
     2  BP_PosingSpyContainer_C
    13  BP_PosingSpyContainer_IntroShowcase_C
     1  BP_PosingSpyContainer_Intro_C
    21  BP_PowerupChest_Civilian_C
    11  BP_PowerupChest_Guard_C
    13  BP_PowerupChest_Staff_C
    17  BP_PowerupChest_Technician_C
     1  BP_PowerupChest_VIP_C
     2  BP_Powerup_Level_Civilian_C
     1  BP_Powerup_Level_Civilian_Droppable_C
     2  BP_Powerup_Level_Guard_C
     1  BP_Powerup_Level_Guard_Droppable_C
     2  BP_Powerup_Level_Staff_C
     1  BP_Powerup_Level_Staff_Droppable_C
     2  BP_Powerup_Level_Technician_C
     1  BP_Powerup_Level_Technician_Droppable_C
     2  BP_Powerup_Level_VIP_C
     1  BP_Powerup_Level_VIP_Droppable_C
     7  BP_Powerup_Level_VIP_Terminal_C
     9  BP_RecessedLight_Medium_VaultHalls_DOWN_C
    31  BP_SRDoorBathroom_C
    16  BP_SR_MainHall_VaultDoors_C
     2  BP_SR_ObjectivePedestal_C
